Local TimeFreq mean	I 4 mean	I a mean	I avg mean	I b mean	I c mean	kVA tot mean	kVAR tot mean	kW tot mean	PF lag mean	PF lead mean	V unbal mean	Vll ab mean	Vll avg mean	Vll bc mean	Vll ca mean
04-05-2024 20:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	35125.96	34993.06	35064.64	34788.50
04-05-2024 21:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.48	35147.80	35015.17	35081.67	34816.04
04-05-2024 21:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.48	35439.38	35292.17	35345.65	35091.48
04-05-2024 21:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.50	35552.93	35400.79	35456.91	35192.52
04-05-2024 21:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.47	35568.95	35413.42	35448.59	35222.76
04-05-2024 22:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.46	35549.86	35385.11	35394.61	35210.83
04-05-2024 22:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	35446.95	35287.80	35297.03	35119.36
04-05-2024 22:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	35408.20	35269.70	35281.58	35119.41
04-05-2024 22:45:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	35467.18	35350.22	35364.73	35218.77
04-05-2024 23:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.30	35496.64	35394.22	35405.45	35280.67
04-05-2024 23:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.28	35452.32	35363.35	35377.58	35260.19
04-05-2024 23:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.27	35243.16	35175.75	35203.57	35080.47
04-05-2024 23:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.26	35354.95	35286.18	35310.18	35193.42
05-05-2024 00:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.25	35410.88	35346.38	35365.66	35262.54
05-05-2024 00:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.23	35376.45	35308.93	35322.24	35228.16
05-05-2024 00:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.19	35391.98	35334.79	35343.11	35269.32
05-05-2024 00:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.19	35215.10	35160.45	35165.72	35100.47
05-05-2024 01:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.19	35265.77	35209.60	35213.11	35149.94
05-05-2024 01:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.19	35306.03	35250.92	35254.01	35192.82
